q,v,viable
3.9217373175665227,-5.785953177257525,1.0
3.9269908169872414,-5.785953177257525,1.0
3.9059768193043665,-5.719063545150502,1.0
3.911230318725085,-5.719063545150502,1.0
3.916483818145804,-5.719063545150502,1.0
3.9217373175665227,-5.719063545150502,1.0
3.9269908169872414,-5.719063545150502,1.0
3.8849628216214915,-5.6521739130434785,1.0
3.8902163210422103,-5.6521739130434785,1.0
3.895469820462929,-5.6521739130434785,1.0
3.9007233198836477,-5.6521739130434785,1.0
3.9059768193043665,-5.6521739130434785,1.0
3.911230318725085,-5.6521739130434785,1.0
3.916483818145804,-5.6521739130434785,1.0
3.9217373175665227,-5.6521739130434785,1.0
3.9269908169872414,-5.6521739130434785,1.0
3.8639488239386166,-5.585284280936455,1.0
3.8692023233593353,-5.585284280936455,1.0
3.874455822780054,-5.585284280936455,1.0
3.879709322200773,-5.585284280936455,1.0
3.8849628216214915,-5.585284280936455,1.0
3.8902163210422103,-5.585284280936455,1.0
3.895469820462929,-5.585284280936455,1.0
3.9007233198836477,-5.585284280936455,1.0
3.9059768193043665,-5.585284280936455,1.0
3.911230318725085,-5.585284280936455,1.0
3.916483818145804,-5.585284280936455,1.0
3.9217373175665227,-5.585284280936455,1.0
3.9269908169872414,-5.585284280936455,1.0
3.8429348262557417,-5.518394648829432,1.0
3.8481883256764604,-5.518394648829432,1.0
3.853441825097179,-5.518394648829432,1.0
3.858695324517898,-5.518394648829432,1.0
3.8639488239386166,-5.518394648829432,1.0
3.8692023233593353,-5.518394648829432,1.0
3.874455822780054,-5.518394648829432,1.0
3.879709322200773,-5.518394648829432,1.0
3.8849628216214915,-5.518394648829432,1.0
3.8902163210422103,-5.518394648829432,1.0
3.895469820462929,-5.518394648829432,1.0
3.9007233198836477,-5.518394648829432,1.0
3.9059768193043665,-5.518394648829432,1.0
3.911230318725085,-5.518394648829432,1.0
3.916483818145804,-5.518394648829432,1.0
3.9217373175665227,-5.518394648829432,1.0
3.9269908169872414,-5.518394648829432,1.0
3.8219208285728667,-5.451505016722408,1.0
3.8271743279935855,-5.451505016722408,1.0
3.832427827414304,-5.451505016722408,1.0
3.837681326835023,-5.451505016722408,1.0
3.8429348262557417,-5.451505016722408,1.0
3.8481883256764604,-5.451505016722408,1.0
3.853441825097179,-5.451505016722408,1.0
3.858695324517898,-5.451505016722408,1.0
3.8639488239386166,-5.451505016722408,1.0
3.8692023233593353,-5.451505016722408,1.0
3.874455822780054,-5.451505016722408,1.0
3.879709322200773,-5.451505016722408,1.0
3.8849628216214915,-5.451505016722408,1.0
3.8902163210422103,-5.451505016722408,1.0
