q,v,viable
3.9269908169872414,-5.757575757575758,1.0
3.8635242987329024,-5.555555555555555,1.0
3.879390928296487,-5.555555555555555,1.0
3.895257557860072,-5.555555555555555,1.0
3.9111241874236566,-5.555555555555555,1.0
3.9269908169872414,-5.555555555555555,1.0
3.800057780478563,-5.353535353535354,1.0
3.8159244100421477,-5.353535353535354,1.0
3.831791039605733,-5.353535353535354,1.0
3.847657669169317,-5.353535353535354,1.0
3.8635242987329024,-5.353535353535354,1.0
3.879390928296487,-5.353535353535354,1.0
3.895257557860072,-5.353535353535354,1.0
3.9111241874236566,-5.353535353535354,1.0
3.9269908169872414,-5.353535353535354,1.0
3.7365912622242234,-5.151515151515151,1.0
3.7524578917878086,-5.151515151515151,1.0
3.7683245213513934,-5.151515151515151,1.0
3.784191150914978,-5.151515151515151,1.0
3.800057780478563,-5.151515151515151,1.0
3.8159244100421477,-5.151515151515151,1.0
3.831791039605733,-5.151515151515151,1.0
3.847657669169317,-5.151515151515151,1.0
3.8635242987329024,-5.151515151515151,1.0
3.879390928296487,-5.151515151515151,1.0
3.895257557860072,-5.151515151515151,1.0
3.9111241874236566,-5.151515151515151,1.0
3.9269908169872414,-5.151515151515151,1.0
3.6731247439698844,-4.94949494949495,1.0
3.688991373533469,-4.94949494949495,1.0
3.704858003097054,-4.94949494949495,1.0
3.720724632660639,-4.94949494949495,1.0
3.7365912622242234,-4.94949494949495,1.0
3.7524578917878086,-4.94949494949495,1.0
3.7683245213513934,-4.94949494949495,1.0
3.784191150914978,-4.94949494949495,1.0
3.800057780478563,-4.94949494949495,1.0
3.8159244100421477,-4.94949494949495,1.0
3.831791039605733,-4.94949494949495,1.0
3.847657669169317,-4.94949494949495,1.0
3.8635242987329024,-4.94949494949495,1.0
3.879390928296487,-4.94949494949495,1.0
3.895257557860072,-4.94949494949495,1.0
3.9111241874236566,-4.94949494949495,1.0
3.9269908169872414,-4.94949494949495,1.0
3.6255248552791297,-4.747474747474747,1.0
3.641391484842715,-4.747474747474747,1.0
3.6572581144062997,-4.747474747474747,1.0
3.6731247439698844,-4.747474747474747,1.0
3.688991373533469,-4.747474747474747,1.0
3.704858003097054,-4.747474747474747,1.0
3.720724632660639,-4.747474747474747,1.0
3.7365912622242234,-4.747474747474747,1.0
3.7524578917878086,-4.747474747474747,1.0
3.7683245213513934,-4.747474747474747,1.0
3.784191150914978,-4.747474747474747,1.0
3.800057780478563,-4.747474747474747,1.0
3.8159244100421477,-4.747474747474747,1.0
3.831791039605733,-4.747474747474747,1.0
3.847657669169317,-4.747474747474747,1.0
3.8635242987329024,-4.747474747474747,1.0
3.879390928296487,-4.747474747474747,1.0
3.895257557860072,-4.747474747474747,1.0
3.9111241874236566,-4.747474747474747,1.0
3.9269908169872414,-4.747474747474747,1.0
3.5620583370247907,-4.545454545454546,1.0
3.5779249665883754,-4.545454545454546,1.0
3.59379159615196,-4.545454545454546,1.0
3.6096582257155454,-4.545454545454546,1.0
3.6255248552791297,-4.545454545454546,1.0
3.641391484842715,-4.545454545454546,1.0
3.6572581144062997,-4.545454545454546,1.0
3.6731247439698844,-4.545454545454546,1.0
3.688991373533469,-4.545454545454546,1.0
3.704858003097054,-4.545454545454546,1.0
3.720724632660639,-4.545454545454546,1.0
3.7365912622242234,-4.545454545454546,1.0
3.7524578917878086,-4.545454545454546,1.0
3.7683245213513934,-4.545454545454546,1.0
