q,v,viable
3.8186600358289726,-5.172413793103448,1.0
3.872825426408107,-5.172413793103448,1.0
3.9269908169872414,-5.172413793103448,1.0
3.6019984735124355,-4.482758620689655,1.0
3.6561638640915697,-4.482758620689655,1.0
3.710329254670704,-4.482758620689655,1.0
3.7644946452498385,-4.482758620689655,1.0
3.8186600358289726,-4.482758620689655,1.0
3.872825426408107,-4.482758620689655,1.0
3.9269908169872414,-4.482758620689655,1.0
3.385336911195898,-3.793103448275861,1.0
3.439502301775032,-3.793103448275861,1.0
3.4936676923541663,-3.793103448275861,1.0
3.547833082933301,-3.793103448275861,1.0
3.6019984735124355,-3.793103448275861,1.0
3.6561638640915697,-3.793103448275861,1.0
3.710329254670704,-3.793103448275861,1.0
3.7644946452498385,-3.793103448275861,1.0
3.8186600358289726,-3.793103448275861,1.0
3.872825426408107,-3.793103448275861,1.0
3.9269908169872414,-3.793103448275861,1.0
3.1686753488793604,-3.1034482758620685,1.0
3.2228407394584946,-3.1034482758620685,1.0
3.277006130037629,-3.1034482758620685,1.0
3.3311715206167634,-3.1034482758620685,1.0
3.385336911195898,-3.1034482758620685,1.0
3.439502301775032,-3.1034482758620685,1.0
3.4936676923541663,-3.1034482758620685,1.0
3.547833082933301,-3.1034482758620685,1.0
3.6019984735124355,-3.1034482758620685,1.0
3.6561638640915697,-3.1034482758620685,1.0
3.710329254670704,-3.1034482758620685,1.0
3.7644946452498385,-3.1034482758620685,1.0
3.8186600358289726,-3.1034482758620685,1.0
3.872825426408107,-3.1034482758620685,1.0
3.9269908169872414,-3.1034482758620685,1.0
2.952013786562823,-2.413793103448276,1.0
3.0061791771419575,-2.413793103448276,1.0
3.0603445677210916,-2.413793103448276,1.0
3.114509958300226,-2.413793103448276,1.0
3.1686753488793604,-2.413793103448276,1.0
3.2228407394584946,-2.413793103448276,1.0
3.277006130037629,-2.413793103448276,1.0
3.3311715206167634,-2.413793103448276,1.0
3.385336911195898,-2.413793103448276,1.0
3.439502301775032,-2.413793103448276,1.0
3.4936676923541663,-2.413793103448276,1.0
3.547833082933301,-2.413793103448276,1.0
3.6019984735124355,-2.413793103448276,1.0
3.6561638640915697,-2.413793103448276,1.0
3.710329254670704,-2.413793103448276,1.0
3.7644946452498385,-2.413793103448276,1.0
3.8186600358289726,-2.413793103448276,1.0
3.872825426408107,-2.413793103448276,1.0
3.9269908169872414,-2.413793103448276,1.0
2.7353522242462853,-1.7241379310344822,1.0
2.78951761482542,-1.7241379310344822,1.0
2.843683005404554,-1.7241379310344822,1.0
2.8978483959836883,-1.7241379310344822,1.0
2.952013786562823,-1.7241379310344822,1.0
3.0061791771419575,-1.7241379310344822,1.0
3.0603445677210916,-1.7241379310344822,1.0
3.114509958300226,-1.7241379310344822,1.0
3.1686753488793604,-1.7241379310344822,1.0
3.2228407394584946,-1.7241379310344822,1.0
3.277006130037629,-1.7241379310344822,1.0
3.3311715206167634,-1.7241379310344822,1.0
3.385336911195898,-1.7241379310344822,1.0
3.439502301775032,-1.7241379310344822,1.0
3.4936676923541663,-1.7241379310344822,1.0
3.547833082933301,-1.7241379310344822,1.0
3.6019984735124355,-1.7241379310344822,1.0
3.6561638640915697,-1.7241379310344822,1.0
3.710329254670704,-1.7241379310344822,1.0
3.7644946452498385,-1.7241379310344822,1.0
3.8186600358289726,-1.7241379310344822,1.0
3.872825426408107,-1.7241379310344822,1.0
3.9269908169872414,-1.7241379310344822,1.0
2.5186906619297478,-1.0344827586206886,1.0
2.5728560525088824,-1.0344827586206886,1.0
2.6270214430880166,-1.0344827586206886,1.0
2.681186833667151,-1.0344827586206886,1.0
2.7353522242462853,-1.0344827586206886,1.0
2.78951761482542,-1.0344827586206886,1.0
2.843683005404554,-1.0344827586206886,1.0
2.8978483959836883,-1.0344827586206886,1.0
2.952013786562823,-1.0344827586206886,1.0
3.0061791771419575,-1.0344827586206886,1.0
3.0603445677210916,-1.0344827586206886,1.0
3.114509958300226,-1.0344827586206886,1.0
3.1686753488793604,-1.0344827586206886,1.0
3.2228407394584946,-1.0344827586206886,1.0
3.277006130037629,-1.0344827586206886,1.0
3.3311715206167634,-1.0344827586206886,1.0
3.385336911195898,-1.0344827586206886,1.0
3.439502301775032,-1.0344827586206886,1.0
3.4936676923541663,-1.0344827586206886,1.0
3.547833082933301,-1.0344827586206886,1.0
3.6019984735124355,-1.0344827586206886,1.0
3.6561638640915697,-1.0344827586206886,1.0
3.710329254670704,-1.0344827586206886,1.0
3.7644946452498385,-1.0344827586206886,1.0
3.8186600358289726,-1.0344827586206886,1.0
3.872825426408107,-1.0344827586206886,1.0
3.9269908169872414,-1.0344827586206886,1.0
2.410359880771479,-0.3448275862068968,1.0
2.4645252713506136,-0.3448275862068968,1.0
2.5186906619297478,-0.3448275862068968,1.0
2.5728560525088824,-0.3448275862068968,1.0
2.6270214430880166,-0.3448275862068968,1.0
2.681186833667151,-0.3448275862068968,1.0
2.7353522242462853,-0.3448275862068968,1.0
2.78951761482542,-0.3448275862068968,1.0
2.843683005404554,-0.3448275862068968,1.0
2.8978483959836883,-0.3448275862068968,1.0
2.952013786562823,-0.3448275862068968,1.0
3.0061791771419575,-0.3448275862068968,1.0
3.0603445677210916,-0.3448275862068968,1.0
3.114509958300226,-0.3448275862068968,1.0
3.1686753488793604,-0.3448275862068968,1.0
3.2228407394584946,-0.3448275862068968,1.0
3.277006130037629,-0.3448275862068968,1.0
3.3311715206167634,-0.3448275862068968,1.0
3.385336911195898,-0.3448275862068968,1.0
3.439502301775032,-0.3448275862068968,1.0
3.4936676923541663,-0.3448275862068968,1.0
3.547833082933301,-0.3448275862068968,1.0
3.6019984735124355,-0.3448275862068968,1.0
3.6561638640915697,-0.3448275862068968,1.0
3.710329254670704,-0.3448275862068968,1.0
3.7644946452498385,-0.3448275862068968,1.0
3.8186600358289726,-0.3448275862068968,1.0
3.872825426408107,-0.3448275862068968,1.0
3.9269908169872414,-0.3448275862068968,1.0
2.356194490192345,0.3448275862068968,1.0
2.410359880771479,0.3448275862068968,1.0
2.4645252713506136,0.3448275862068968,1.0
2.5186906619297478,0.3448275862068968,1.0
2.5728560525088824,0.3448275862068968,1.0
2.6270214430880166,0.3448275862068968,1.0
2.681186833667151,0.3448275862068968,1.0
2.7353522242462853,0.3448275862068968,1.0
2.78951761482542,0.3448275862068968,1.0
2.843683005404554,0.3448275862068968,1.0
2.8978483959836883,0.3448275862068968,1.0
2.952013786562823,0.3448275862068968,1.0
3.0061791771419575,0.3448275862068968,1.0
3.0603445677210916,0.3448275862068968,1.0
3.114509958300226,0.3448275862068968,1.0
3.1686753488793604,0.3448275862068968,1.0
3.2228407394584946,0.3448275862068968,1.0
3.277006130037629,0.3448275862068968,1.0
