q,v,viable
3.9269908169872414,-5.5102040816326525,1.0
3.7987625454121474,-5.1020408163265305,1.0
3.830819613305921,-5.1020408163265305,1.0
3.8628766811996944,-5.1020408163265305,1.0
3.894933749093468,-5.1020408163265305,1.0
3.9269908169872414,-5.1020408163265305,1.0
3.6705342738370543,-4.6938775510204085,1.0
3.7025913417308276,-4.6938775510204085,1.0
3.734648409624601,-4.6938775510204085,1.0
3.766705477518374,-4.6938775510204085,1.0
3.7987625454121474,-4.6938775510204085,1.0
3.830819613305921,-4.6938775510204085,1.0
3.8628766811996944,-4.6938775510204085,1.0
3.894933749093468,-4.6938775510204085,1.0
3.9269908169872414,-4.6938775510204085,1.0
3.5423060022619604,-4.285714285714286,1.0
3.5743630701557336,-4.285714285714286,1.0
3.6064201380495073,-4.285714285714286,1.0
3.6384772059432806,-4.285714285714286,1.0
3.6705342738370543,-4.285714285714286,1.0
3.7025913417308276,-4.285714285714286,1.0
3.734648409624601,-4.285714285714286,1.0
3.766705477518374,-4.285714285714286,1.0
3.7987625454121474,-4.285714285714286,1.0
3.830819613305921,-4.285714285714286,1.0
3.8628766811996944,-4.285714285714286,1.0
3.894933749093468,-4.285714285714286,1.0
3.9269908169872414,-4.285714285714286,1.0
3.4140777306868673,-3.8775510204081627,1.0
3.4461347985806405,-3.8775510204081627,1.0
3.478191866474414,-3.8775510204081627,1.0
3.510248934368187,-3.8775510204081627,1.0
3.5423060022619604,-3.8775510204081627,1.0
3.5743630701557336,-3.8775510204081627,1.0
3.6064201380495073,-3.8775510204081627,1.0
3.6384772059432806,-3.8775510204081627,1.0
3.6705342738370543,-3.8775510204081627,1.0
3.7025913417308276,-3.8775510204081627,1.0
3.734648409624601,-3.8775510204081627,1.0
3.766705477518374,-3.8775510204081627,1.0
3.7987625454121474,-3.8775510204081627,1.0
3.830819613305921,-3.8775510204081627,1.0
3.8628766811996944,-3.8775510204081627,1.0
3.894933749093468,-3.8775510204081627,1.0
3.9269908169872414,-3.8775510204081627,1.0
3.2858494591117733,-3.4693877551020407,1.0
3.3179065270055466,-3.4693877551020407,1.0
3.3499635948993203,-3.4693877551020407,1.0
3.3820206627930935,-3.4693877551020407,1.0
3.4140777306868673,-3.4693877551020407,1.0
